,tractid,dist_dtown,den_parc,den_finsqft,den_line,lg_den_parc,lg_den_finsqft,tot_parc,tot_finsqft,tot_line_len,period,chg_tot_finsqft,chg_den_line,chg_den_finsqft,chg_tot_line_len
154,25,1798,0.00040140314,0.078574665,0.0021157204,-3.3964193,-1.1047175,115969,2027503.6,442741.84,8,270740.5,0.0,-0.008366413,15401.4375
155,26,9366,4.1136873e-06,0.00043605085,0.00052248203,-5.385769,-3.360463,25179,465997.4,281973.1,2,,,,
156,26,9366,4.1136873e-06,0.00043605085,0.00052248203,-5.385769,-3.360463,32109,631768.0,309384.16,3,165770.6,0.0,0.0,27411.062
157,26,9366,4.4876588e-06,0.00045998505,0.00052248203,-5.34798,-3.3372562,45857,922966.0,325355.22,4,291198.0,0.0,2.3934204e-05,15971.0625
158,26,9366,6.3575167e-06,0.0006516455,0.00052248203,-5.1967125,-3.1859887,62637,1226555.8,389052.62,5,303589.75,0.0,0.00019166042,63697.406
159,26,9366,6.7314886e-06,0.00068997755,0.00052248203,-5.171889,-3.161165,76354,1402262.1,405158.72,6,175706.38,0.0,3.8332073e-05,16106.094
160,26,9366,1.421092e-05,0.0016038038,0.00052248203,-4.847378,-2.7948487,101258,1761051.8,427340.4,7,358789.62,0.0,0.0009138263,22181.688
161,26,9366,2.2812266e-05,0.0027582103,0.00052248203,-4.6418314,-2.5593727,115969,2034879.1,442741.84,8,273827.38,0.0,0.0011544065,15401.4375
162,27,3572,0.00019443904,0.021712359,0.0004427559,-3.7112164,-1.663293,62637,1240849.1,389052.62,5,,,,
163,27,3572,0.00028406328,0.036502134,0.0004427559,-3.5465848,-1.4376818,76354,1426291.6,405158.72,6,185442.5,0.0,0.014789775,16106.094
164,27,3572,0.00038280187,0.054262165,0.0004427559,-3.417026,-1.2655029,101258,1796772.8,427340.4,7,370481.12,0.0,0.01776003,22181.688
165,27,3572,0.00048761666,0.068428874,0.0004427559,-3.3119214,-1.1647606,115969,2079926.1,442741.84,8,283153.38,0.0,0.014166709,15401.4375
166,28,5513,3.9561182e-05,0.005393508,0.0005161723,-4.402731,-2.2681286,25179,486720.06,281973.1,2,,,,
167,28,5513,6.871153e-05,0.010676462,0.0005161723,-4.1629705,-1.9715726,32109,672788.56,309384.16,3,186068.5,0.0,0.0052829543,27411.062
168,28,5513,9.94235e-05,0.015847582,0.0005161723,-4.002511,-1.800037,45857,983854.8,325355.22,4,311066.25,0.0,0.00517112,15971.0625
169,28,5513,0.0001218068,0.019221112,0.0005161723,-3.9143286,-1.7162215,62637,1314699.5,389052.62,5,330844.7,0.0,0.0033735298,63697.406
170,28,5513,0.00013143683,0.020687014,0.0005161723,-3.881283,-1.6843022,76354,1505774.2,405158.72,6,191074.75,0.0,0.0014659017,16106.094
171,28,5513,0.00014236821,0.022610396,0.0005161723,-3.846587,-1.6456919,101258,1883645.2,427340.4,7,377871.0,0.0,0.0019233823,22181.688
172,28,5513,0.00016058717,0.027420962,0.0005161723,-3.794289,-1.5619173,115969,2185281.5,442741.84,8,301636.25,0.0,0.004810566,15401.4375
173,29,2226,0.0003808728,0.04713451,0.0,-3.41922,-1.326661,9229,168166.25,152356.6,0,,,,
174,29,2226,0.00044665992,0.055345222,0.0,-3.350023,-1.2569199,10910,212517.33,273684.16,1,44351.08,0.0,0.008210711,121327.56
175,29,2226,0.00052629696,0.0645571,0.0,-3.278769,-1.190056,25179,542654.3,281973.1,2,330137.0,0.0,0.0092118755,8288.9375
176,29,2226,0.00056207593,0.06994763,0.0,-3.250205,-1.155227,32109,733393.4,309384.16,3,190739.06,0.0,0.0053905323,27411.062
177,29,2226,0.0006093965,0.076167256,0.0,-3.2151,-1.1182317,45857,1049848.5,325355.22,4,316455.12,0.0,0.0062196255,15971.0625
178,29,2226,0.00063594215,0.079915926,0.0013384355,-3.1965823,-1.0973667,62637,1383941.1,389052.62,5,334092.62,0.0013384355,0.0037486702,63697.406
179,29,2226,0.00064863794,0.08147573,0.0013384355,-3.1879976,-1.0889717,76354,1576367.4,405158.72,6,192426.25,0.0,0.0015598014,16106.094
